scale,method,slice_idx,psnr,ssim
2x,bicubic,0,26.7764,0.894170
2x,bicubic,1,26.9482,0.879205
2x,bicubic,2,27.8784,0.874222
2x,bicubic,3,26.2811,0.879959
2x,bicubic,4,27.0843,0.886987
2x,relu,0,19.1697,0.422013
2x,relu,1,18.9655,0.337668
2x,relu,2,20.2518,0.330951
2x,relu,3,19.0861,0.426099
2x,relu,4,19.0537,0.343530
2x,siren,0,25.9821,0.878143
2x,siren,1,26.2986,0.860126
2x,siren,2,27.2015,0.852879
2x,siren,3,25.6788,0.862171
2x,siren,4,26.4784,0.869309
2x,siren_ffl_caos,0,14.3740,0.083069
2x,siren_ffl_caos,1,14.1359,0.115446
2x,siren_ffl_caos,2,15.6647,0.101714
2x,siren_ffl_caos,3,13.0302,0.091664
2x,siren_ffl_caos,4,13.8067,0.114805
4x,bicubic,0,21.8671,0.641388
4x,bicubic,1,22.0579,0.603016
4x,bicubic,2,23.3375,0.606785
4x,bicubic,3,21.7094,0.632995
4x,bicubic,4,22.4797,0.638117
4x,relu,0,18.7668,0.356858
4x,relu,1,18.7537,0.295316
4x,relu,2,20.1266,0.296819
4x,relu,3,18.8040,0.372637
4x,relu,4,18.8143,0.310735
4x,siren,0,20.7865,0.563648
4x,siren,1,21.2469,0.521026
4x,siren,2,22.4697,0.535166
4x,siren,3,20.8188,0.556108
4x,siren,4,21.6631,0.566848
4x,siren_ffl_caos,0,13.5663,0.044235
4x,siren_ffl_caos,1,13.2082,0.063673
4x,siren_ffl_caos,2,15.0428,0.070929
4x,siren_ffl_caos,3,12.0631,0.044376
4x,siren_ffl_caos,4,12.7778,0.054255
